id;Barco;latitude;longitude;n_anzuelos;CPUE SBR
1;Os Castro;44.16805556;-8.468611111;2400;
2;Os Castro;44.15138889;-8.448333333;1600;
3;Os Castro;44.16666667;-8.402777778;1920;
4;Os Castro;44.15;-8.488611111;2560;
5;Os Castro;43.42388889;-9.420555556;2000;
6;Os Castro;43.38388889;-9.468888889;2000;
7;Os Castro;43.4575;-9.302777778;1440;
8;Os Castro;43.42083333;-9.409166667;2880;
9;Os Castro;43.42527778;-9.456388889;3840;
10;Os Castro;44.01888889;-6.997222222;1560;
11;Siempre San Pablo;44.00833333;-6.968611111;1690;
12;Siempre San Pablo;44.13694444;-7.375;1950;
13;Siempre San Pablo;44.11944444;-7.456944444;1690;
14;Siempre San Pablo;44.13555556;-7.366666667;3510;
15;Siempre San Pablo;44.13472222;-7.372222222;2340;
16;Siempre San Pablo;44.13555556;-7.372777778;3250;
17;Siempre San Pablo;44.01666667;-6.996666667;1690;
18;Siempre San Pablo;44.00888889;-6.968888889;1560;
19;Siempre San Pablo;44.00833333;-6.877777778;910;
20;Siempre San Pablo;44.00833333;-6.968888889;1300;
21;Siempre San Pablo;44.01805556;-6.997222222;1040;
22;Siempre San Pablo;43.92083333;-6.813888889;1040;
23;Siempre San Pablo;43.92222222;-6.733333333;2080;
